"experiment_id","occurrence_id","plot_number","design_id","block_type","block_name","block_value","block_level_number","entry_id","design_x","design_y"
"10272007209","1116081",101,1,"Replicate_Block","replicate",1,1,2,1,1
"10272007209","1116081",102,1,"Replicate_Block","replicate",1,1,7,1,2
"10272007209","1116081",103,1,"Replicate_Block","replicate",1,1,10,1,3
"10272007209","1116081",104,1,"Replicate_Block","replicate",1,1,11,1,4
"10272007209","1116081",105,1,"Replicate_Block","replicate",1,1,5,2,1
"10272007209","1116081",106,1,"Replicate_Block","replicate",1,1,8,2,2
"10272007209","1116081",107,1,"Replicate_Block","replicate",1,1,3,2,3
"10272007209","1116081",108,1,"Replicate_Block","replicate",1,1,6,2,4
"10272007209","1116081",109,1,"Replicate_Block","replicate",1,1,1,3,1
"10272007209","1116081",110,1,"Replicate_Block","replicate",1,1,4,3,2
"10272007209","1116081",111,1,"Replicate_Block","replicate",1,1,9,3,3
"10272007209","1116081",112,1,"Replicate_Block","replicate",1,1,12,3,4
"10272007209","1116081",201,2,"Replicate_Block","replicate",2,1,9,1,5
"10272007209","1116081",202,2,"Replicate_Block","replicate",2,1,6,1,6
"10272007209","1116081",203,2,"Replicate_Block","replicate",2,1,7,1,7
"10272007209","1116081",204,2,"Replicate_Block","replicate",2,1,1,1,8
"10272007209","1116081",205,2,"Replicate_Block","replicate",2,1,2,2,5
"10272007209","1116081",206,2,"Replicate_Block","replicate",2,1,4,2,6
"10272007209","1116081",207,2,"Replicate_Block","replicate",2,1,11,2,7
"10272007209","1116081",208,2,"Replicate_Block","replicate",2,1,3,2,8
"10272007209","1116081",209,2,"Replicate_Block","replicate",2,1,8,3,5
"10272007209","1116081",210,2,"Replicate_Block","replicate",2,1,10,3,6
"10272007209","1116081",211,2,"Replicate_Block","replicate",2,1,5,3,7
"10272007209","1116081",212,2,"Replicate_Block","replicate",2,1,12,3,8
"10272007209","1222142",101,1,"Replicate_Block","replicate",1,1,7,1,1
"10272007209","1222142",102,1,"Replicate_Block","replicate",1,1,5,1,2
"10272007209","1222142",103,1,"Replicate_Block","replicate",1,1,8,1,3
"10272007209","1222142",104,1,"Replicate_Block","replicate",1,1,9,1,4
"10272007209","1222142",105,1,"Replicate_Block","replicate",1,1,4,2,1
"10272007209","1222142",106,1,"Replicate_Block","replicate",1,1,1,2,2
"10272007209","1222142",107,1,"Replicate_Block","replicate",1,1,3,2,3
"10272007209","1222142",108,1,"Replicate_Block","replicate",1,1,11,2,4
"10272007209","1222142",109,1,"Replicate_Block","replicate",1,1,12,3,1
"10272007209","1222142",110,1,"Replicate_Block","replicate",1,1,10,3,2
"10272007209","1222142",111,1,"Replicate_Block","replicate",1,1,6,3,3
"10272007209","1222142",112,1,"Replicate_Block","replicate",1,1,2,3,4
"10272007209","1222142",201,2,"Replicate_Block","replicate",2,1,2,1,5
"10272007209","1222142",202,2,"Replicate_Block","replicate",2,1,4,1,6
"10272007209","1222142",203,2,"Replicate_Block","replicate",2,1,8,1,7
"10272007209","1222142",204,2,"Replicate_Block","replicate",2,1,12,1,8
"10272007209","1222142",205,2,"Replicate_Block","replicate",2,1,7,2,5
"10272007209","1222142",206,2,"Replicate_Block","replicate",2,1,9,2,6
"10272007209","1222142",207,2,"Replicate_Block","replicate",2,1,10,2,7
"10272007209","1222142",208,2,"Replicate_Block","replicate",2,1,3,2,8
"10272007209","1222142",209,2,"Replicate_Block","replicate",2,1,1,3,5
"10272007209","1222142",210,2,"Replicate_Block","replicate",2,1,6,3,6
"10272007209","1222142",211,2,"Replicate_Block","replicate",2,1,11,3,7
"10272007209","1222142",212,2,"Replicate_Block","replicate",2,1,5,3,8
"10272007209","1116081",101,3,"Replicate_Block","block",1,2,2,1,1
"10272007209","1116081",102,3,"Replicate_Block","block",1,2,7,1,2
"10272007209","1116081",103,3,"Replicate_Block","block",1,2,10,1,3
"10272007209","1116081",104,3,"Replicate_Block","block",1,2,11,1,4
"10272007209","1116081",105,4,"Replicate_Block","block",2,2,5,2,1
"10272007209","1116081",106,4,"Replicate_Block","block",2,2,8,2,2
"10272007209","1116081",107,4,"Replicate_Block","block",2,2,3,2,3
"10272007209","1116081",108,4,"Replicate_Block","block",2,2,6,2,4
"10272007209","1116081",109,5,"Replicate_Block","block",3,2,1,3,1
"10272007209","1116081",110,5,"Replicate_Block","block",3,2,4,3,2
"10272007209","1116081",111,5,"Replicate_Block","block",3,2,9,3,3
"10272007209","1116081",112,5,"Replicate_Block","block",3,2,12,3,4
"10272007209","1116081",201,3,"Replicate_Block","block",1,2,9,1,5
"10272007209","1116081",202,3,"Replicate_Block","block",1,2,6,1,6
"10272007209","1116081",203,3,"Replicate_Block","block",1,2,7,1,7
"10272007209","1116081",204,3,"Replicate_Block","block",1,2,1,1,8
"10272007209","1116081",205,4,"Replicate_Block","block",2,2,2,2,5
"10272007209","1116081",206,4,"Replicate_Block","block",2,2,4,2,6
"10272007209","1116081",207,4,"Replicate_Block","block",2,2,11,2,7
"10272007209","1116081",208,4,"Replicate_Block","block",2,2,3,2,8
"10272007209","1116081",209,5,"Replicate_Block","block",3,2,8,3,5
"10272007209","1116081",210,5,"Replicate_Block","block",3,2,10,3,6
"10272007209","1116081",211,5,"Replicate_Block","block",3,2,5,3,7
"10272007209","1116081",212,5,"Replicate_Block","block",3,2,12,3,8
"10272007209","1222142",101,3,"Replicate_Block","block",1,2,7,1,1
"10272007209","1222142",102,3,"Replicate_Block","block",1,2,5,1,2
"10272007209","1222142",103,3,"Replicate_Block","block",1,2,8,1,3
"10272007209","1222142",104,3,"Replicate_Block","block",1,2,9,1,4
"10272007209","1222142",105,4,"Replicate_Block","block",2,2,4,2,1
"10272007209","1222142",106,4,"Replicate_Block","block",2,2,1,2,2
"10272007209","1222142",107,4,"Replicate_Block","block",2,2,3,2,3
"10272007209","1222142",108,4,"Replicate_Block","block",2,2,11,2,4
"10272007209","1222142",109,5,"Replicate_Block","block",3,2,12,3,1
"10272007209","1222142",110,5,"Replicate_Block","block",3,2,10,3,2
"10272007209","1222142",111,5,"Replicate_Block","block",3,2,6,3,3
"10272007209","1222142",112,5,"Replicate_Block","block",3,2,2,3,4
"10272007209","1222142",201,3,"Replicate_Block","block",1,2,2,1,5
"10272007209","1222142",202,3,"Replicate_Block","block",1,2,4,1,6
"10272007209","1222142",203,3,"Replicate_Block","block",1,2,8,1,7
"10272007209","1222142",204,3,"Replicate_Block","block",1,2,12,1,8
"10272007209","1222142",205,4,"Replicate_Block","block",2,2,7,2,5
"10272007209","1222142",206,4,"Replicate_Block","block",2,2,9,2,6
"10272007209","1222142",207,4,"Replicate_Block","block",2,2,10,2,7
"10272007209","1222142",208,4,"Replicate_Block","block",2,2,3,2,8
"10272007209","1222142",209,5,"Replicate_Block","block",3,2,1,3,5
"10272007209","1222142",210,5,"Replicate_Block","block",3,2,6,3,6
"10272007209","1222142",211,5,"Replicate_Block","block",3,2,11,3,7
"10272007209","1222142",212,5,"Replicate_Block","block",3,2,5,3,8
