"LOC","GEN","PredictedValue","StdError","Reliability"
1,"7",4.62084730767007,0.12114504971449,0.105871366239699
1,"15",4.58461441118202,0.12114442376596,0.105880606023889
1,"23",4.62202126691966,0.12114569296223,0.105861871047754
1,"34",4.46673103410928,0.121146326079692,0.105852525342955
1,"38",4.59848542727781,0.121144426681546,0.105880562986302
1,"43",4.58067883775759,0.121145069847583,0.105871069049237
1,"47",4.63833335720461,0.121144422408734,0.105880626058194
1,"54",4.62142655726521,0.121146323242476,0.105852567224357
1,"55",4.59931915612028,0.121145684287572,0.10586199909757
1,"59",4.53906206769584,0.121143803645775,0.105889759727335
1,"3",4.59941135479781,0.121145687202829,0.105861956064391
1,"6",4.58142928836588,0.121145065626909,0.105871131351842
1,"9",4.60349152424648,0.121146959295398,0.105843178139083
1,"24",4.60271112956308,0.121145692975189,0.105861870856461
1,"41",4.67900110831767,0.121145695855258,0.105861828342697
1,"42",4.64137232471974,0.121145694402173,0.10586184979223
1,"46",4.597176484614,0.12114632027708,0.105852610997896
1,"50",4.64740771597569,0.12114507559992,0.105870984137294
1,"51",4.56505269633411,0.121145069923242,0.10587106793241
1,"58",4.58925639547573,0.121145062731084,0.105871174097959
1,"1",4.63740129540623,0.121145055473259,0.105871281232831
1,"13",4.59363130255611,0.121146326155663,0.10585252422151
1,"14",4.60219979175815,0.121143173398162,0.105899062875526
1,"16",4.64514334496332,0.121147590903706,0.105833854614116
1,"21",4.53768207385607,0.121145681375335,0.105862042086175
1,"26",4.56301993854835,0.121143805072504,0.105889738667192
1,"37",4.54977505033153,0.121145681375335,0.105862042086175
1,"39",4.57286221844875,0.121145056982096,0.105871258960442
1,"40",4.64235888423667,0.121146326155663,0.10585252422151
1,"53",4.5839671110286,0.121147590903706,0.105833854614116
1,"60",4.66943205043869,0.121145679978359,0.105862062707454
1,"2",4.59201710796931,0.121145054052661,0.105871302202688
1,"5",4.55293656527308,0.121145074265802,0.105871003830605
1,"8",4.59321874104192,0.12114568422157,0.10586200007186
1,"10",4.47828097469709,0.121144429646342,0.105880519222316
1,"12",4.58353501984225,0.121145069999432,0.105871066807748
1,"27",4.58813875737401,0.121146330378529,0.105852461885907
1,"35",4.64520187700621,0.121144438173285,0.105880393354276
1,"36",4.55480575694338,0.12114568422157,0.10586200007186
1,"52",4.55517755185875,0.121146960692306,0.105843157518598
1,"57",4.60933004390221,0.12114505407946,0.105871301807108
1,"4",4.62573831566477,0.121146323259446,0.105852566973863
1,"17",4.54240271873068,0.121144426685695,0.105880562925058
1,"22",4.58588952547894,0.121145045428101,0.105871429512322
1,"25",4.59914544983709,0.12114505685687,0.10587126080895
1,"28",4.60294215532649,0.121146950505056,0.105843307897912
1,"30",4.54105456983439,0.121146950505056,0.105843307897912
1,"32",4.56311593804096,0.121145687160684,0.105861956686517
1,"48",4.64011970186552,0.12114567997475,0.105862062760722
1,"56",4.5838364787889,0.121145685691527,0.10586197837328
1,"11",4.59570091592664,0.121145052616342,0.105871323404615
1,"18",4.54424365609275,0.121145049697901,0.105871366484563
1,"19",4.56893810814094,0.121146320383285,0.105852609430161
1,"20",4.62519739251542,0.121144428206701,0.105880540473156
1,"29",4.57737024040429,0.121145065491854,0.105871133345428
1,"31",4.54201306794934,0.12114505700545,0.105871258615717
1,"33",4.55774442311847,0.121145679925395,0.105862063489268
1,"44",4.56513260648887,0.12114506414476,0.105871153230274
1,"45",4.57721524536253,0.121146953457289,0.105843264318466
1,"49",4.54425458734206,0.121145061172594,0.105871197103287
