"occurrence","plot_number","block","replicate","entry_id","field_row","field_col"
1,101,1,1,15,1,1
1,102,1,1,21,1,2
1,103,1,1,9,1,3
1,104,1,1,3,1,4
1,105,2,1,20,2,4
1,106,2,1,14,2,3
1,107,2,1,8,2,2
1,108,2,1,2,2,1
1,109,3,1,10,3,1
1,110,3,1,4,3,2
1,111,3,1,22,3,3
1,112,3,1,16,3,4
1,113,4,1,24,4,4
1,114,4,1,6,4,3
1,115,4,1,18,4,2
1,116,4,1,12,4,1
1,117,5,1,17,5,1
1,118,5,1,23,5,2
1,119,5,1,5,5,3
1,120,5,1,11,5,4
1,121,6,1,1,6,4
1,122,6,1,19,6,3
1,123,6,1,13,6,2
1,124,6,1,7,6,1
1,201,7,2,10,1,5
1,202,7,2,17,1,6
1,203,7,2,3,1,7
1,204,7,2,24,1,8
1,205,8,2,15,2,8
1,206,8,2,22,2,7
1,207,8,2,1,2,6
1,208,8,2,8,2,5
1,209,9,2,2,3,5
1,210,9,2,9,3,6
1,211,9,2,23,3,7
1,212,9,2,16,3,8
1,213,10,2,21,4,8
1,214,10,2,14,4,7
1,215,10,2,7,4,6
1,216,10,2,6,4,5
1,217,11,2,5,5,5
1,218,11,2,13,5,6
1,219,11,2,20,5,7
1,220,11,2,12,5,8
1,221,12,2,4,6,8
1,222,12,2,19,6,7
1,223,12,2,18,6,6
1,224,12,2,11,6,5
2,101,1,1,7,1,1
2,102,1,1,13,1,2
2,103,1,1,19,1,3
2,104,1,1,1,1,4
2,105,2,1,12,2,4
2,106,2,1,18,2,3
2,107,2,1,24,2,2
2,108,2,1,6,2,1
2,109,3,1,22,3,1
2,110,3,1,10,3,2
2,111,3,1,16,3,3
2,112,3,1,4,3,4
2,113,4,1,9,4,4
2,114,4,1,3,4,3
2,115,4,1,15,4,2
2,116,4,1,21,4,1
2,117,5,1,20,5,1
2,118,5,1,14,5,2
2,119,5,1,8,5,3
2,120,5,1,2,5,4
2,121,6,1,23,6,4
2,122,6,1,17,6,3
2,123,6,1,5,6,2
2,124,6,1,11,6,1
2,201,7,2,10,1,5
2,202,7,2,3,1,6
2,203,7,2,24,1,7
2,204,7,2,17,1,8
2,205,8,2,23,2,8
2,206,8,2,16,2,7
2,207,8,2,2,2,6
2,208,8,2,9,2,5
2,209,9,2,14,3,5
2,210,9,2,21,3,6
2,211,9,2,6,3,7
2,212,9,2,7,3,8
2,213,10,2,4,4,8
2,214,10,2,11,4,7
2,215,10,2,19,4,6
2,216,10,2,18,4,5
2,217,11,2,5,5,5
2,218,11,2,13,5,6
2,219,11,2,20,5,7
2,220,11,2,12,5,8
2,221,12,2,22,6,8
2,222,12,2,15,6,7
2,223,12,2,1,6,6
2,224,12,2,8,6,5
