"occurrence","plot_number","replicate","block","entry_id","field_row","field_col"
1,101,1,1,"2",1,1
1,102,1,1,"7",2,1
1,103,1,1,"10",3,1
1,104,1,1,"11",4,1
1,105,1,2,"5",1,2
1,106,1,2,"8",2,2
1,107,1,2,"3",3,2
1,108,1,2,"6",4,2
1,109,1,3,"1",1,3
1,110,1,3,"4",2,3
1,111,1,3,"9",3,3
1,112,1,3,"12",4,3
1,201,2,1,"9",5,1
1,202,2,1,"6",6,1
1,203,2,1,"7",7,1
1,204,2,1,"1",8,1
1,205,2,2,"2",5,2
1,206,2,2,"4",6,2
1,207,2,2,"11",7,2
1,208,2,2,"3",8,2
1,209,2,3,"8",5,3
1,210,2,3,"10",6,3
1,211,2,3,"5",7,3
1,212,2,3,"12",8,3
2,101,1,1,"7",1,1
2,102,1,1,"5",2,1
2,103,1,1,"8",3,1
2,104,1,1,"9",4,1
2,105,1,2,"4",1,2
2,106,1,2,"1",2,2
2,107,1,2,"3",3,2
2,108,1,2,"11",4,2
2,109,1,3,"12",1,3
2,110,1,3,"10",2,3
2,111,1,3,"6",3,3
2,112,1,3,"2",4,3
2,201,2,1,"2",5,1
2,202,2,1,"4",6,1
2,203,2,1,"8",7,1
2,204,2,1,"12",8,1
2,205,2,2,"7",5,2
2,206,2,2,"9",6,2
2,207,2,2,"10",7,2
2,208,2,2,"3",8,2
2,209,2,3,"1",5,3
2,210,2,3,"6",6,3
2,211,2,3,"11",7,3
2,212,2,3,"5",8,3
